adm1_name,adm2_name,survey_date,survey_month,resp_age,resp_gender,hh_agricactivity,hh_gender,hh_education,hh_wealth_water,hh_wealth_toilet,hh_wealth_light,hh_residencetype,hh_size,hh_maritalstat,hh_age,income_main,income_main_amount,income_main_comp,income_sec,income_sec_amount,income_sec_comp,income_third,income_third_amount,income_third_comp,tot_income,covid_goodstransp,covid_marketclosed,covid_borderclosed,covid_stayhome,covid_gatherings,covid_processclosed,covid_none,shock_noshock,shock_sicknessordeathofhh,shock_lostemplorwork,shock_otherintrahhshock,shock_higherfoodprices,shock_higherfuelprices,shock_cantworkordobusiness,shock_othereconomicshock,shock_pestoutbreak,shock_plantdisease,shock_animaldisease,shock_napasture,shock_othercropandlivests,shock_coldtemporhail,shock_flood,shock_hurricane,shock_drought,shock_othernathazard,shock_violenceinsecconf,shock_theftofprodassets,shock_fire,shock_othermanmadehazard,crp_main,crp_landsize,crp_irrigation,crp_seed_ownprod,crp_seed_market,crp_seed_company,crp_seed_freedist,crp_seed_bank,crp_seed_gov,crp_area_change,crp_harv_change,crp_proddif,crp_proddif_plantdisease,crp_proddif_seedquality,crp_proddif_lostordamaged,crp_proddif_naplot,crp_proddif_nafertilizer,crp_proddif_naseeds,crp_proddif_nainsecticides,crp_proddif_nalabour,crp_proddif_namachinery,crp_proddif_nafuelorelect,crp_proddif_soilerosion,crp_proddif_irrigation,crp_salesdif,crp_saledif_marketing_cost,crp_saledif_damagelosses,crp_saledif_lowdemand,crp_saledif_lowprice,crp_saledif_dif_processing,crp_salesprice,ls_main,ls_num_lastyr,ls_num_now,ls_num_diff,ls_num_nochange,ls_num_inc_didnotsellasmany,ls_num_inc_moreborn,ls_num_inc_purchbarterdmore,ls_num_inc_receivedfree,ls_num_dec_animalsdied,ls_num_dec_soldmoregoodprice,ls_num_dec_soldmoredistsale,ls_num_dec_anmlescloststolen,ls_num_dec_killedorgaveanml,ls_food_supply_openpasture,ls_food_supply_commonpasture,ls_food_supply_fieldselfprodfod,ls_food_supply_purchased,ls_proddif,ls_proddif_diffeedpurchase,ls_proddif_constaccesstopasture,ls_proddif_constaccesstowater,ls_proddif_difaccessvetserv,ls_proddif_difaccessvetinp,ls_proddif_diseases,ls_proddif_theftorinsecurity,ls_proddif_pooraccesstolmarket,ls_proddif_noaccesstocredit,ls_proddif_lackoflabour,ls_salesmain,ls_salesdif,ls_salesdif_smallerprofits,ls_salesdif_damageandlosses,ls_salesdif_lowdemand,ls_salesdif_lowprices,ls_salesdif_slaughterhouse,ls_salesdif_processing,ls_salesprice,need,need_seeds,need_fertilizers,need_pesticides,need_tools,need_accesstoirrigationwater,need_accesstoland,need_animalfeed,need_veterinaryservices,need_veterinaryinputs,need_animalsalemingarantdprice,need_restockinganimals,need_supportforprocessprod,need_supptransofanimalsorprod,need_acstomechanisedequipprod,need_marketingsupport,need_cashassistance,need_loans,need_storageequipmentorfaci,need_techsupporextensionserv,need_landrehabilitation,need_fishequiorothersuppforfish,need_infoonsafetymeasures,shock_count,shock_climate_count,shock_bio_count,shock_economic_count,shock_personal_count,covid_disruption_count,income_source_count,income_primary_share,income_quintile_adm1,ls_pct_change,crp_proddif_count,crp_salesdif_count,needs_expressed_count,chirps_rain_30d_mm,chirps_rain_90d_mm,modis_ndvi_90d_mean,modis_ndvi_90d_std,regional_yield_mean,vulnerability_score,credit_risk
Midlands,Chirumhanzu,2022-04-15,4,48,Male,Yes - both crop and livestock production,Male,Completed secondary school,Protected well,Traditional pit latrine (no water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",4.0,Married,41 to 65,Off-farm daily wages and other non-agricultural casual employment,48000.0,Less,No second most important source of income,,,No third most important source of income,,,48000.0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,Less than 1 ha,Rainfed,No,Yes,No,No,No,No,Same,Less,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,"Poultry (chicken, guineafowl, duck, etc)",22.0,30.0,8.0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,4.0,0.36363636363636365,1.0,,3.0,0.03126196864345135,0.03746955079290995,0.3566868634356807,0.025420969332894602,1.0082494447441954,0.1333,MEDIUM
Midlands,Gokwe South,2022-03-29,3,29,Don't know,No,Refused,Completed secondary school,Private tap from piped water,Traditional pit latrine (no water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",4.0,Married,18 to 40,"Non-agricultural self-employed or liberal profession, doctor, architect, lawyer, including restaurant",5000.0,A lot less (less than half as much),No second most important source of income,,,No third most important source of income,,,5000.0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,,,,1.0,0.4822365951312006,0.4822365951312006,0.3419889075811121,0.0279565015525952,1.0082494447441954,0.746,HIGH
Manicaland,Mutare,2022-03-29,3,50,Male,Yes - crop production,Male,Completed primary school,Other safe source,Communal latrine (with or without water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",13.0,Married,41 to 65,"Farmer, production and sale of vegetable or fruit",100000.0,Less,No second most important source of income,,,No third most important source of income,,,100000.0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,10990.0,5 to 10 ha,Rainfed,No,Yes,Yes,No,No,No,Less,Less,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,3.0,1.0,0.0,2.0,0.0,0.0,1,1.0,5.0,,1.0,,1.0,4.950148242516516,14.198704266785876,0.38692083561041857,0.03203579374148879,1.3548012832077148,0.0001,LOW
Manicaland,Mutasa,2022-04-02,4,36,Male,Yes - livestock production,Male,"Completed higher education (university, college) degree",Private tap from piped water,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",10.0,Married,18 to 40,Stable employment in non-agricultural sector,30000.0,More,"Farmer, production and sale of livestock and livestock products",30000.0,Less,Don't know,,,60000.0,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry (chicken, guineafowl, duck, etc)",100.0,0.0,-100.0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Swine,Yes,No,No,Yes,No,No,No,More,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1.0,0.0,0.0,0.0,1.0,1.0,2,0.5,4.0,-1.0,,,1.0,4.950148242516516,14.198704266785876,0.38692083561041857,0.03203579374148879,1.3548012832077148,0.1333,MEDIUM
Mashonaland East,Goromonzi,2022-04-12,4,38,Male,Yes - livestock production,Male,Completed secondary school,River,Traditional pit latrine (no water),Lamp with batteries,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",4.0,Married,18 to 40,Daily wage on farms and other casual employment in agricultural sector,270000.0,Less,No second most important source of income,,,No third most important source of income,,,270000.0,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry (chicken, guineafowl, duck, etc)",100.0,100.0,0.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,5.0,0.0,,,2.0,0.00904705943777827,0.4362647218641659,0.35279675940977856,0.03403392247338003,1.1037422523037344,0.4069,HIGH
Mashonaland East,Goromonzi,2022-04-06,4,31,Male,No,Male,Completed secondary school,Protected well,Flush latrine (toilet with water),Candle,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",5.0,Married,18 to 40,Stable employment in non-agricultural sector,7000.0,Less,No second most important source of income,,,No third most important source of income,,,7000.0,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,2.0,,,,1.0,0.00904705943777827,0.4362647218641659,0.35279675940977856,0.03403392247338003,1.1037422523037344,0.3567,HIGH
Manicaland,Mutare,2022-04-12,4,30,Male,Yes - crop production,Male,Completed secondary school,Private tap from piped water,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",8.0,Married,18 to 40,Daily wage on farms and other casual employment in agricultural sector,205000.0,Less,No second most important source of income,,,No third most important source of income,,,205000.0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,1 to 5 ha,Rainfed,No,Yes,No,No,No,No,Less,Less,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,5.0,,2.0,,1.0,4.950148242516516,14.198704266785876,0.38692083561041857,0.03203579374148879,1.3548012832077148,0.1333,MEDIUM
Manicaland,Mutare,2022-04-14,4,43,Female,Yes - both crop and livestock production,Male,Completed secondary school,Protected well,Traditional pit latrine (no water),Petrol lamp,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",5.0,Married,41 to 65,"Farmer, production and sale of vegetable or fruit",,A lot less (less than half as much),No second most important source of income,,,No third most important source of income,,,0.0,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,1 to 5 ha,Rainfed,No,No,No,No,No,No,Same,A lot less (less than half as much),Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,,,,,,,,"Poultry (chicken, guineafowl, duck, etc)",20.0,10.0,-10.0,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,1.0,0.0,0,,1.0,-0.5,2.0,,2.0,4.950148242516516,14.198704266785876,0.38692083561041857,0.03203579374148879,1.3548012832077148,0.2234,HIGH
Masvingo,Bikita,2022-04-23,4,61,Male,Yes - crop production,Male,"Completed higher education (university, college) degree",Public tap,Traditional pit latrine (no water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",10.0,Married,41 to 65,Daily wage on farms and other casual employment in agricultural sector,,Less,No second most important source of income,,,No third most important source of income,,,0.0,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,1500.0,1 to 5 ha,Rainfed,Yes,Yes,No,No,No,No,More,A lot less (less than half as much),Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,2.0,0.0,0.0,0.0,1.0,0.0,0,,1.0,,4.0,,1.0,10.03799393003019,15.38611337874533,0.3656415881171024,0.0317770054071791,0.834131608320568,0.2736,HIGH
Midlands,Gweru,2022-04-04,4,34,Male,Yes - crop production,Male,Completed secondary school,Protected well,Traditional pit latrine (no water),Petrol lamp,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",6.0,Married,18 to 40,"Non-agricultural self-employed or liberal profession, doctor, architect, lawyer, including restaurant",20000.0,Same,Stable employment in non-agricultural sector,20000.0,Same,Don't know,,,40000.0,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,Less than 1 ha,Rainfed,No,No,Yes,No,No,No,Less,Less,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,1.0,1.0,2,0.5,4.0,,3.0,,1.0,0.2834378829331131,0.2834378829331131,0.3327232439012489,0.02170900951952007,1.0082494447441954,0.2736,HIGH
Mashonaland Central,Mazowe,2022-04-11,4,42,Male,Yes - both crop and livestock production,Male,Completed primary school,Protected well,Traditional pit latrine (no water),Candle,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",9.0,Married,Over 65,Daily wage on farms and other casual employment in agricultural sector,,A lot less (less than half as much),"Farmer, production and sale of vegetable or fruit",50000.0,A lot less (less than half as much),Don't know,,,50000.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,5 to 10 ha,Canal,No,Yes,No,No,No,No,Less,Less,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Less,"Poultry (chicken, guineafowl, duck, etc)",80.0,36.0,-44.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,1.0,1,,4.0,-0.55,2.0,1.0,3.0,0.0,0.0,0.35643506451314955,0.034798207407318524,1.5028364458532366,0.3402,HIGH
Midlands,Kwekwe,2022-04-24,4,52,Male,Yes - both crop and livestock production,Male,Completed secondary school,Protected well,Flush latrine (toilet with water),Other (no electric supply to the house),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",7.0,Married,Over 65,"Farmer, production and sale of staple crops",40000.0,Less,"Farmer, production and sale of vegetable or fruit",40000.0,Less,Don't know,,,80000.0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,1 to 5 ha,Rainfed,No,No,Yes,No,No,No,Less,A lot less (less than half as much),Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,A lot less (less than half as much),"Poultry (chicken, guineafowl, duck, etc)",50.0,0.0,-50.0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,5.0,-1.0,2.0,,1.0,1.5251071004242505,1.5251071004242505,0.3660597668386733,0.02987848282104446,1.0082494447441954,0.2003,MEDIUM
Mashonaland East,Goromonzi,2022-04-06,4,20,Male,Yes - livestock production,Male,Completed secondary school,Protected well,Flush latrine (toilet with water),Candle,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",7.0,Married,41 to 65,Public employment,,Same,No second most important source of income,,,No third most important source of income,,,0.0,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry (chicken, guineafowl, duck, etc)",50.0,100.0,50.0,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,1.0,,,1.0,0.00904705943777827,0.4362647218641659,0.35279675940977856,0.03403392247338003,1.1037422523037344,0.0668,LOW
Manicaland,Nyanga,2022-04-05,4,51,Female,Yes - crop production,Female,Completed primary school,River,Traditional pit latrine (no water),Other (no electric supply to the house),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",3.0,Separated,41 to 65,No income source in the last 3 months and used exclusively debt,,,No second most important source of income,,,No third most important source of income,,,0.0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,1 to 5 ha,Rainfed,No,Yes,No,No,No,No,Less,Less,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0,,1.0,,1.0,4.950148242516516,14.198704266785876,0.38692083561041857,0.03203579374148879,1.3548012832077148,0.2003,MEDIUM
Mashonaland East,Hwedza,2022-04-14,4,49,Male,Yes - both crop and livestock production,Male,"Completed higher education (university, college) degree",Other safe source,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",5.0,Married,41 to 65,Public employment,120000.0,More,No second most important source of income,,,No third most important source of income,,,120000.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1500.0,5 to 10 ha,Rainfed,No,No,Yes,No,No,No,More,A lot less (less than half as much),Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,"Poultry (chicken, guineafowl, duck, etc)",100.0,300.0,200.0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1.0,1.0,0.0,0.0,0.0,1.0,1,1.0,5.0,2.0,1.0,,1.0,0.33531405195693714,0.6431885088663815,0.34434742823149805,0.03021572252834556,1.1037422523037344,0.0,LOW
Mashonaland Central,Mazowe,2022-04-15,4,28,Female,No,Male,Completed secondary school,Private tap from piped water,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",4.0,Married,18 to 40,No income source in the last 3 months and used exclusively debt,,,No second most important source of income,,,No third most important source of income,,,0.0,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,2.0,0.0,0.0,1.0,0.0,2.0,0,,1.0,,,,1.0,0.0,0.0,0.35643506451314955,0.034798207407318524,1.5028364458532366,0.267,HIGH
Manicaland,Rusape,2022-04-19,4,38,Male,No,Male,Completed secondary school,Private tap from piped water,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Recent migrant not forcefully displaced - you have been living in your current place of residence for less than two years and you moved there voluntarily for work, family or other reasons that are not related to conflict or natural disaster",5.0,Married,18 to 40,"Non-agricultural self-employed or liberal profession, doctor, architect, lawyer, including restaurant",14400.0,Less,No second most important source of income,,,No third most important source of income,,,14400.0,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,3.0,,,,1.0,4.950148242516516,14.198704266785876,0.38692083561041857,0.03203579374148879,1.3548012832077148,0.4069,HIGH
Matabeleland South,Plumtree,2022-05-08,5,45,Male,Yes - crop production,Male,Completed secondary school,Protected well,"Open pit (whole in the ground for excrement without water, roof or wall)",Lamp with batteries,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",1.0,Separated,41 to 65,Stable employment in non-agricultural sector,15000.0,Less,No second most important source of income,,,No third most important source of income,,,15000.0,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5100.0,Less than 1 ha,Flood irrigation,No,No,Yes,No,No,No,More,More,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,,1.0,,1.0,1.0173550843764865,1.0648447699232855,0.3174694924591209,0.024110530504548016,1.047395419085191,0.2334,HIGH
Matabeleland North,Hwange,2022-04-09,4,39,Male,Yes - livestock production,Male,Completed secondary school,Protected well,Flush latrine (toilet with water),Electricity (from generator or electrical grid),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",8.0,Married,18 to 40,Stable employment in non-agricultural sector,60000.0,Same,No second most important source of income,,,No third most important source of income,,,60000.0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry (chicken, guineafowl, duck, etc)",0.0,150.0,150.0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,2.0,0.0,0.0,1.0,1.0,1.0,1,1.0,4.0,,,,1.0,0.2727686845146513,0.2727686845146513,0.3378274140963752,0.02521972067208314,0.9032635080148601,0.2001,HIGH
Matabeleland North,Lupane,2022-04-29,4,28,Male,Yes - crop production,Female,Completed secondary school,Protected well,"Open pit (whole in the ground for excrement without water, roof or wall)",Lamp with batteries,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",14.0,Married,18 to 40,"Farmer, production and sale of staple crops",1000.0,Less,No second most important source of income,,,No third most important source of income,,,1000.0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1300.0,1 to 5 ha,Rainfed,No,No,No,Yes,No,No,Same,Less,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,,1.0,,1.0,0.7261976291258507,0.7261976291258507,0.3657176766675441,0.02687247943294696,0.9032635080148601,0.1333,MEDIUM
Masvingo,Bikita,2022-04-07,4,45,Male,Yes - crop production,Male,Completed secondary school,Other safe source,Traditional pit latrine (no water),Lamp with batteries,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",8.0,Married,41 to 65,Daily wage on farms and other casual employment in agricultural sector,15000.0,Less,No second most important source of income,,,No third most important source of income,,,15000.0,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,1 to 5 ha,Rainfed,No,Yes,No,No,No,No,Less,Less,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,3.0,,,,1.0,10.03799393003019,15.38611337874533,0.3656415881171024,0.0317770054071791,0.834131608320568,0.4638,HIGH
Matabeleland South,Gwanda,2022-05-07,5,28,Male,Yes - crop production,Male,Completed primary school,Protected well,Traditional pit latrine (no water),Lamp with batteries,"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",10.0,"Single, never married",18 to 40,Stable employment in non-agricultural sector,60000.0,More,No second most important source of income,,,No third most important source of income,,,60000.0,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1500.0,1 to 5 ha,Rainfed,No,No,No,No,No,Yes,Less,Less,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,4.0,,1.0,,1.0,0.8002919909773375,0.8691256672703718,0.3226789491024646,0.025137062571997066,1.047395419085191,0.2668,HIGH
Matabeleland South,Beitbridge,2022-05-07,5,42,Male,Yes - livestock production,Male,"Completed higher education (university, college) degree",River,Traditional pit latrine (no water),Other (no electric supply to the house),"Permanent resident - you have been living in your village, town for longer than two years and this is what you consider your habitual residence",4.0,Married,41 to 65,Public employment,78000.0,Same,No second most important source of income,,,No third most important source of income,,,78000.0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goats,10.0,5.0,-5.0,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,4.0,-0.5,,,2.0,1.174716313334443,1.2678717517846767,0.31260521201509495,0.029874879526252764,1.047395419085191,0.2,HIGH
